"RT- 472178 - University of Washington, Seattle",,,,,,,,,,,,,,,,,,,
Report Date 2022-02-14,,,,,,,,,,,,,,,,,,,
"Data refreshed nightly, Monday - Saturday. Last refresh at 2022-02-14 01:45 AM",,,,,,,,,,,,,,,,,,,
Year/Quarter: Autumn 2014 - Autumn 2021,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Academic_Year,Term,Course_Number,Course_Title,Student_Count,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average_GPA,
2016-17,20164 (Autumn 2016),ART H 212 A,CHINESE ART,143,21,67,34,5,7,2,1,,1,,,,5,3.4,
2016-17,20164 (Autumn 2016),ART H 260 A,FASHION NATION CLTR,55,8,11,9,5,7,3,3,1,,4,1,2,1,2.8,
2016-17,20164 (Autumn 2016),ART H 290 A,HIST OF ARCHITECT,65,28,31,5,1,,,,,,,,,,3.7,
2016-17,20164 (Autumn 2016),ART H 309 A,TOPICS IN ART HIST,48,7,13,9,6,5,3,2,1,,,,1,1,3.1,
2016-17,20164 (Autumn 2016),ART H 341 A,GREEK ART & ARCHLGY,20,5,4,3,1,,2,1,1,,2,,1,,2.9,
2016-17,20164 (Autumn 2016),ART H 361 A,ITALIAN REN ART,36,10,14,6,3,2,,1,,,,,,,3.5,
2016-17,20164 (Autumn 2016),ART H 373 A,SOUTHERN BAROQUE,24,2,10,7,3,1,,,,,1,,,,3.3,
2016-17,20164 (Autumn 2016),ART H 384 A,AMERICAN ART,63,19,13,10,3,9,3,3,1,,,,2,,3.2,
2016-17,20164 (Autumn 2016),ART H 400 A,ART H AND CRITICISM,25,3,14,4,,1,,,,,,,,3,3.5,
2016-17,20164 (Autumn 2016),ART H 473 A,TOPICS BAROQUE ART,15,1,7,4,1,1,,,,,,,1,,3.2,
2016-17,20164 (Autumn 2016),ARTS 150 B,EXPERIENCING ARTS,24,12,12,,,,,,,,,,,,3.8,
2016-17,20164 (Autumn 2016),ARTSCI 121 A,ART SCI IMMERSION,28,6,19,1,1,,,,,,,,,1,3.7,
2016-17,20164 (Autumn 2016),ASIAN 263 A,GREAT WKS ASIAN LIT,23,7,12,4,,,,,,,,,,,3.6,
2016-17,20164 (Autumn 2016),ASL 101 A,ELEMENTARY ASL L,28,20,5,2,1,,,,,,,,,,3.8,
2016-17,20164 (Autumn 2016),ASL 101 B,ELEMENTARY ASL L,24,18,1,,2,2,,,,,,,,1,3.7,
2016-17,20164 (Autumn 2016),ASL 101 C,ELEMENTARY ASL L,25,16,4,3,2,,,,,,,,,,3.7,
2016-17,20164 (Autumn 2016),ASL 101 D,ELEMENTARY ASL L,26,18,2,2,2,1,1,,,,,,,,3.7,
2016-17,20164 (Autumn 2016),ASL 101 E,ELEMENTARY ASL L,25,20,3,,,,1,,,,,,,1,3.8,
2016-17,20164 (Autumn 2016),ASL 201 A,INTERMED ASL I,28,12,3,5,3,,2,1,,1,,,,1,3.4,
2016-17,20164 (Autumn 2016),ASTBIO 115 A,INTRO ASTROBIOLOGY,25,4,8,2,3,3,2,2,,,,,1,,3,
2016-17,20164 (Autumn 2016),ASTR 101 A,ASTRONOMY,291,102,87,28,20,14,14,11,1,1,,1,7,5,3.3,
2016-17,20164 (Autumn 2016),ASTR 101 B,ASTRONOMY,92,5,16,20,7,10,5,4,6,1,2,,10,6,2.6,
2016-17,20164 (Autumn 2016),ASTR 101 F,ASTRONOMY,24,3,7,1,3,4,2,1,2,,,,1,,2.9,
2016-17,20164 (Autumn 2016),ASTR 101 K,ASTRONOMY,37,14,9,6,2,2,2,1,,,1,,,,3.4,
2016-17,20164 (Autumn 2016),ASTR 102 A,INTRO TO ASTRONOMY,40,3,8,7,7,8,2,2,3,,,,,,3,
2016-17,20164 (Autumn 2016),ASTR 115 A,INTRO ASTROBIOLOGY,17,2,3,3,1,4,1,3,,,,,,,3,
2016-17,20164 (Autumn 2016),ASTR 150 A,THE PLANETS,225,35,68,47,21,22,12,2,5,1,2,,1,9,3.2,
2016-17,20164 (Autumn 2016),ASTR 150 C,THE PLANETS,21,3,8,7,2,1,,,,,,,,,3.4,
2016-17,20164 (Autumn 2016),ASTR 150 E,THE PLANETS,56,5,16,9,8,7,2,2,1,,1,,4,1,2.9,
2016-17,20164 (Autumn 2016),ASTR 301 A,ASTR FOR SCI & ENGR,24,3,14,3,,4,,,,,,,,,3.5,
2016-17,20164 (Autumn 2016),ASTR 322 A,CONTENT OF GALAXY,37,2,10,10,6,4,,1,,,,,1,3,3.1,
2016-17,20164 (Autumn 2016),ASTR 425 A,COSMOLOGY,17,6,5,4,,,,1,,,,,,1,3.5,
2016-17,20164 (Autumn 2016),ASTR 598 A,TPCS THEOR ASTRPHYS,16,3,10,2,1,,,,,,,,,,3.5,
2016-17,20164 (Autumn 2016),ATM S 101 A,WEATHER,89,15,30,17,7,7,5,1,2,2,1,,1,1,3.2,
2016-17,20164 (Autumn 2016),ATM S 111 A,GLOBAL WARMING,227,60,47,23,24,23,13,9,7,7,2,5,5,2,3,
2016-17,20164 (Autumn 2016),ATM S 211 A,CLIMATE CHANGE,85,5,34,14,14,12,2,1,1,,,,2,,3.2,
2016-17,20164 (Autumn 2016),ATM S 301 A,INTRO TO ATMOSPH SC,40,3,10,9,4,8,2,1,1,,1,,1,,3,
2016-17,20164 (Autumn 2016),ATM S 431 A,BOUNDARY-LAYER METE,17,1,2,7,3,4,,,,,,,,,3.1,
2016-17,20164 (Autumn 2016),B A 490 A,SPECIAL TOPICS,26,26,,,,,,,,,,,,,4,
2016-17,20164 (Autumn 2016),B A 500 A,BUSINESS ADMIN I,62,4,31,23,4,,,,,,,,,,3.4,
2016-17,20164 (Autumn 2016),B A 500 B,BUSINESS ADMIN I,64,4,35,23,2,,,,,,,,,,3.5,
2016-17,20164 (Autumn 2016),B CMU 301 A,STRATEGIC CMU,40,2,16,17,3,2,,,,,,,,,3.4,
2016-17,20164 (Autumn 2016),B CMU 301 B,STRATEGIC CMU,40,1,10,17,10,2,,,,,,,,,3.3,
2016-17,20164 (Autumn 2016),B CMU 301 C,STRATEGIC CMU,39,1,16,17,5,,,,,,,,,,3.4,
2016-17,20164 (Autumn 2016),B CMU 301 D,STRATEGIC CMU,40,,16,18,6,,,,,,,,,,3.3,
2016-17,20164 (Autumn 2016),B CMU 301 E,STRATEGIC CMU,39,,13,18,5,3,,,,,,,,,3.2,
2016-17,20164 (Autumn 2016),B CMU 301 F,STRATEGIC CMU,40,,20,16,4,,,,,,,,,,3.4,
2016-17,20164 (Autumn 2016),B CMU 301 G,STRATEGIC CMU,40,1,12,15,9,3,,,,,,,,,3.2,
2016-17,20164 (Autumn 2016),B CMU 301 H,STRATEGIC CMU,38,,5,24,4,4,,1,,,,,,,3.2,
